country;year;sector;size;sample;coverage_firms;coverage_turnover;coverage_employees;turnover;nb_firms;R11_NBQ;R11_Q1;R11_Q2;R11_Q3;R28_NBQ;R28_Q1;R28_Q2;R28_Q3
FR;2022;K642;0;0;43.32;97.76;89.15;45659279;40285;38941;110.88;137.85;209.94;40274;-5.92;-0.11;12.78
FR;2022;L;0;0;8.45;48.60;49.79;43993295;7539;6848;175.92;307.96;719.71;7539;-23.97;-0.05;35.03
FR;2022;L68;0;0;8.45;48.60;49.79;43993295;7539;6848;175.92;307.96;719.71;7539;-23.97;-0.05;35.03
FR;2022;M;0;0;21.88;92.15;82.75;217665735;31551;30061;156.36;223.56;385.39;31550;-26.42;-5.93;5.41
FR;2022;M69;0;0;30.78;79.66;75.73;25894419;6903;6843;180.27;248.85;452.55;6903;-40.17;-16.21;0.40
FR;2022;M70;0;0;18.30;97.92;85.36;81863956;12256;11643;128.95;188.69;336.04;12255;-15.46;-0.83;11.02
FR;2022;M701;0;0;35.86;100.00;86.94;40439971;7288;7029;115.47;151.59;236.85;7287;-4.96;0.00;18.10
FR;2022;M702;0;0;10.65;89.95;84.40;41423985;4968;4614;178.31;270.02;499.47;4968;-29.86;-10.35;0.04
FR;2022;M71;0;0;24.28;91.90;87.35;62037637;7593;7135;171.89;238.27;388.92;7593;-29.34;-9.46;2.32
FR;2022;M72;0;0;23.26;93.37;69.21;10859483;551;503;148.32;198.87;340.24;551;-20.91;-3.70;1.65
FR;2022;M73;0;0;24.89;96.48;88.12;23667175;2011;1832;197.08;293.20;501.80;2011;-29.06;-8.65;1.36
FR;2022;M74;0;0;12.81;82.53;69.03;11457477;1397;1282;179.02;261.37;450.61;1397;-30.89;-11.16;3.15
FR;2022;M75;0;0;38.87;73.75;76.63;1885588;840;823;151.10;190.22;269.41;840;-16.74;-3.11;14.13
FR;2022;Mc;0;0;19.59;89.21;82.28;177225764;24263;23032;175.44;248.26;431.69;24263;-31.49;-10.99;1.60
FR;2022;N;0;0;23.66;97.87;92.06;146122297;15105;14091;199.90;302.00;540.23;15105;-24.28;-5.79;6.37
FR;2022;N77;0;0;15.73;98.72;94.84;41391026;2850;2663;194.95;322.97;614.32;2850;-5.79;9.12;41.91
FR;2022;N78;0;0;47.88;96.95;95.37;37504466;3240;3110;213.99;326.04;582.61;3240;-26.51;-10.50;-0.66
FR;2022;N79;0;0;28.78;100.00;74.98;11580685;963;855;235.52;356.39;626.37;963;-46.91;-23.74;-3.89
FR;2022;N80;0;0;30.37;92.05;90.59;9052806;1081;944;223.39;341.41;637.78;1081;-24.39;-7.11;2.85
FR;2022;N81;0;0;26.93;86.23;92.59;19239638;4017;3843;191.61;264.35;411.80;4017;-25.53;-7.42;7.23
FR;2022;N82;0;0;17.25;87.60;79.11;27353676;2954;2676;187.23;296.69;563.42;2954;-25.47;-5.34;2.48
FR;2022;P;0;0;15.16;67.59;51.51;9861725;2035;1847;181.61;253.86;424.02;2035;-29.05;-9.15;5.86
FR;2022;P85;0;0;15.16;67.59;51.51;9861725;2035;1847;181.61;253.86;424.02;2035;-29.05;-9.15;5.86
FR;2022;Q;0;0;30.66;65.64;55.95;45733447;8180;7656;148.18;200.38;316.29;8180;-21.09;-1.70;10.07
FR;2022;Q86;0;0;30.05;71.31;68.80;36305888;6182;5936;142.13;186.39;280.47;6182;-22.55;-2.22;13.19
FR;2022;Q87;0;0;59.77;57.99;48.87;6302756;1141;980;170.11;234.41;413.69;1141;-10.26;-0.59;0.75
FR;2022;Q88;0;0;20.40;39.61;37.21;3124803;857;740;222.76;326.33;563.28;857;-25.00;-3.96;3.84
FR;2022;R;0;0;17.83;100.00;75.32;17308376;2236;1927;186.17;278.09;496.35;2236;-25.47;-6.99;10.97
FR;2022;R90;0;0;20.37;;;;757;690;;;;757;;;
FR;2022;R91;0;0;33.07;73.63;49.63;647964;126;119;151.38;201.43;281.09;126;-27.57;-7.03;17.94
FR;2022;R92;0;0;72.20;100.00;100.00;4678199;226;201;173.12;239.67;331.39;226;-34.66;-15.59;-5.20
FR;2022;R93;0;0;13.86;94.82;77.10;7724828;1127;917;193.74;315.83;625.59;1127;-19.27;-2.97;17.30
FR;2022;S;0;0;8.12;62.41;51.50;9192815;1767;1623;163.87;227.44;373.68;1767;-22.61;-3.86;10.33
FR;2022;S94;0;0;0.66;;;;9;9;;;;9;;;
FR;2022;S95;0;0;15.44;78.63;72.49;2260436;352;317;170.45;231.80;374.36;352;-31.91;-7.86;7.40
FR;2022;S96;0;0;7.76;73.56;58.50;6883697;1406;1297;161.53;226.58;373.68;1406;-21.12;-2.92;10.86
FR;2022;Z0;0;0;29.57;100.00;86.26;4332666890;300766;281998;173.30;247.65;414.01;300761;-20.59;-2.56;13.26
FR;2022;Zc;0;0;29.44;100.00;86.26;4292226919;293478;274969;175.42;250.33;418.34;293474;-20.94;-2.81;13.14
